日期,時段,進站,出站,人次
2018-08-01,0,古亭,松山機場,0
2018-08-01,0,古亭,中山國中,1
2018-08-01,0,古亭,南京復興,0
2018-08-01,0,古亭,忠孝復興,0
2018-08-01,0,古亭,大安,0
2018-08-01,0,古亭,科技大樓,0
2018-08-01,0,古亭,六張犁,2
2018-08-01,0,古亭,麟光,0
2018-08-01,0,古亭,辛亥,0
2018-08-01,0,古亭,萬芳醫院,0
2018-08-01,0,古亭,萬芳社區,0
2018-08-01,0,古亭,木柵,0
2018-08-01,0,古亭,動物園,0
2018-08-01,0,古亭,大直,1
2018-08-01,0,古亭,劍南路,0
2018-08-01,0,古亭,西湖,0
2018-08-01,0,古亭,港墘,1
2018-08-01,0,古亭,文德,0
2018-08-01,0,古亭,內湖,4
2018-08-01,0,古亭,大湖公園,0
2018-08-01,0,古亭,葫洲,0
2018-08-01,0,古亭,東湖,0
2018-08-01,0,古亭,南港軟體園區,0
2018-08-01,0,古亭,南港展覽館,0
2018-08-01,0,古亭,小碧潭,0
2018-08-01,0,古亭,新店,1
2018-08-01,0,古亭,新店區公所,4
2018-08-01,0,古亭,七張,3
2018-08-01,0,古亭,大坪林,6
2018-08-01,0,古亭,景美,4
2018-08-01,0,古亭,萬隆,4
2018-08-01,0,古亭,公館,3
2018-08-01,0,古亭,台電大樓,2
2018-08-01,0,古亭,古亭,3
2018-08-01,0,古亭,中正紀念堂,0
2018-08-01,0,古亭,小南門,0
2018-08-01,0,古亭,頂溪,8
2018-08-01,0,古亭,永安市場,7
2018-08-01,0,古亭,景安,6
2018-08-01,0,古亭,南勢角,6
2018-08-01,0,古亭,台大醫院,0
2018-08-01,0,古亭,台北車站,0
2018-08-01,0,古亭,中山,0
2018-08-01,0,古亭,雙連,0
2018-08-01,0,古亭,民權西路,2
2018-08-01,0,古亭,圓山,1
2018-08-01,0,古亭,劍潭,0
2018-08-01,0,古亭,士林,1
2018-08-01,0,古亭,芝山,3
2018-08-01,0,古亭,明德,2
2018-08-01,0,古亭,石牌,1
2018-08-01,0,古亭,唭哩岸,2
2018-08-01,0,古亭,奇岩,2
2018-08-01,0,古亭,北投,2
2018-08-01,0,古亭,新北投,0
2018-08-01,0,古亭,復興崗,0
2018-08-01,0,古亭,忠義,0
2018-08-01,0,古亭,關渡,0
2018-08-01,0,古亭,竹圍,0
2018-08-01,0,古亭,紅樹林,1
2018-08-01,0,古亭,淡水,4
2018-08-01,0,古亭,頂埔,1
2018-08-01,0,古亭,永寧,0
2018-08-01,0,古亭,土城,0
2018-08-01,0,古亭,海山,0
2018-08-01,0,古亭,亞東醫院,3
2018-08-01,0,古亭,府中,1
2018-08-01,0,古亭,BL板橋,2
2018-08-01,0,古亭,新埔,4
2018-08-01,0,古亭,江子翠,1
2018-08-01,0,古亭,龍山寺,0
2018-08-01,0,古亭,西門,4
2018-08-01,0,古亭,善導寺,0
2018-08-01,0,古亭,忠孝新生,1
2018-08-01,0,古亭,忠孝敦化,1
2018-08-01,0,古亭,國父紀念館,0
2018-08-01,0,古亭,市政府,0
2018-08-01,0,古亭,永春,4
2018-08-01,0,古亭,後山埤,0
2018-08-01,0,古亭,昆陽,1
2018-08-01,0,古亭,南港,1
2018-08-01,0,古亭,象山,0
2018-08-01,0,古亭,台北101/世貿,1
2018-08-01,0,古亭,信義安和,0
2018-08-01,0,古亭,大安森林公園,0
2018-08-01,0,古亭,北門,1
2018-08-01,0,古亭,松江南京,1
2018-08-01,0,古亭,台北小巨蛋,1
2018-08-01,0,古亭,南京三民,3
2018-08-01,0,古亭,松山,1
2018-08-01,0,古亭,輔大,0
2018-08-01,0,古亭,新莊,1
2018-08-01,0,古亭,頭前庄,0
2018-08-01,0,古亭,先嗇宮,1
2018-08-01,0,古亭,三重,3
2018-08-01,0,古亭,菜寮,4
2018-08-01,0,古亭,台北橋,1
2018-08-01,0,古亭,大橋頭站,1
2018-08-01,0,古亭,中山國小,1
2018-08-01,0,古亭,行天宮,2
